Carguero,Valor objetivo (optimo),Valor objetivo (heuristico),Tiempo de computo heuristico(s),Aprox porcentual del heuristico con respecto al modelo,Proporcion de tiempo de ejecucion de heuristico con respecto al modelo
carguero0,11149,11056,6.199999916134402e-06,0.9917,2e-05
carguero1,13119,13094,6.70000008540228e-06,0.9981,0.00022
carguero2,11046,9928,5.600000804406591e-06,0.8988,0.00018
carguero3,12911,12835,5.500000042957254e-06,0.9941,0.00012
carguero4,11952,11952,4.499999704421498e-06,1.0,0.00015
carguero5,12341,12341,4.100000296602957e-06,1.0,0.00013
carguero6,11984,11447,4.800000169780105e-06,0.9552,0.00015
carguero7,13565,13037,4.700001227320172e-06,0.9611,0.00015
carguero8,13624,12914,4.300000000512227e-06,0.9479,0.00013
carguero9,14517,14517,4.600000465870835e-06,1.0,0.0001
carguero10,12477,11958,4.0000013541430235e-06,0.9584,0.00013
carguero11,13431,13095,5.599998985417187e-06,0.975,0.00017
carguero12,15503,15503,4.699999408330768e-06,1.0,0.0001
carguero13,14153,13290,4.700001227320172e-06,0.9390000000000001,0.0001
carguero14,12551,12353,6.300000677583739e-06,0.9842,0.00013
carguero15,14464,14365,7.5000007200287655e-06,0.9932,0.00024
carguero16,14779,13741,4.899999112240039e-06,0.9298,0.0001
carguero17,12747,12449,1.1299998732283711e-05,0.9766,0.00024
carguero18,15606,14663,5.40000110049732e-06,0.9396,0.00017
carguero19,13459,12892,4.899999112240039e-06,0.9579,0.0001
carguero20,15025,14703,5.199999577598646e-06,0.9786,0.00017
carguero21,13463,12789,5.600000804406591e-06,0.9499,0.00012
carguero22,13387,12753,5.300000339047983e-06,0.9526,0.00011
carguero23,15368,15222,5.600000804406591e-06,0.9905,0.00018
carguero24,13090,12919,5.100000635138713e-06,0.9869,0.00011
carguero25,12917,11593,5.699999746866524e-06,0.8975,0.00018
carguero26,13169,13013,5.500000042957254e-06,0.9882,0.00012
carguero27,14758,14680,5.199999577598646e-06,0.9947,0.00017
carguero28,15180,13921,5.399999281507917e-06,0.9171,0.00017
