Carguero,Funcion objetivo,Tiempo de ejecucion,Iteraciones
0,1098137,0.344,2
1,1136636,0.031,3
2,1147774,0.031,5
3,1115814,0.047,2
4,1025493,0.031,2
5,1085902,0.031,2
6,1044607,0.032,18
7,1208616,0.031,5
8,1095340,0.032,8
9,1177841,0.047,6
10,1181749,0.032,15
11,1162969,0.032,3
12,1218372,0.047,1
13,1207457,0.047,9
14,1140922,0.047,2
15,1249727,0.031,3
16,1214733,0.047,2
17,1092339,0.047,4
18,1287085,0.031,12
19,1156447,0.047,20
20,1178398,0.031,7
21,1134234,0.047,10
22,1143256,0.047,11
23,1211217,0.031,4
24,1198179,0.046,27
25,1211735,0.031,3
26,1208360,0.047,12
27,1238616,0.031,9
28,1229386,0.031,1
